/content/drive/MyDrive/data4training/blt샌드위치/B020401XX_03864.jpg,1,678,1619,2430,blt샌드위치
/content/drive/MyDrive/data4training/blt샌드위치/B020401XX_03875.jpg,1,701,1348,1654,blt샌드위치
/content/drive/MyDrive/data4training/blt샌드위치/B020401XX_03876.jpg,1,1380,1210,2430,blt샌드위치
/content/drive/MyDrive/data4training/blt샌드위치/B020401XX_03881.jpg,1,1,2430,1493,blt샌드위치
/content/drive/MyDrive/data4training/blt샌드위치/B020401XX_03898.jpg,1,561,1820,1918,blt샌드위치
/content/drive/MyDrive/data4training/blt샌드위치/B020401XX_03899.jpg,1,1,2430,2282,blt샌드위치
/content/drive/MyDrive/data4training/blt샌드위치/B020401XX_03904.jpg,1,272,1620,1813,blt샌드위치
/content/drive/MyDrive/data4training/blt샌드위치/B020401XX_03905.jpg,157,558,1215,1207,blt샌드위치
/content/drive/MyDrive/data4training/blt샌드위치/B020401XX_03906.jpg,1,224,2430,1261,blt샌드위치
/content/drive/MyDrive/data4training/blt샌드위치/B020401XX_03907.jpg,236,1,2415,1352,blt샌드위치
/content/drive/MyDrive/data4training/blt샌드위치/B020401XX_03908.jpg,1,258,2430,2175,blt샌드위치
/content/drive/MyDrive/data4training/blt샌드위치/B020401XX_03911.jpg,1,166,1367,1233,blt샌드위치
/content/drive/MyDrive/data4training/blt샌드위치/B020401XX_03913.jpg,281,1,2392,1620,blt샌드위치
/content/drive/MyDrive/data4training/blt샌드위치/B020401XX_03914.jpg,1,1,1620,2430,blt샌드위치
/content/drive/MyDrive/data4training/blt샌드위치/B020401XX_03915.jpg,203,461,2201,1571,blt샌드위치
/content/drive/MyDrive/data4training/blt샌드위치/B020401XX_03917.jpg,1,723,1619,2186,blt샌드위치
/content/drive/MyDrive/data4training/blt샌드위치/B020401XX_03926.jpg,1,226,1619,2037,blt샌드위치
/content/drive/MyDrive/data4training/blt샌드위치/B020401XX_03927.jpg,305,771,1457,1604,blt샌드위치
/content/drive/MyDrive/data4training/blt샌드위치/B020401XX_03928.jpg,1,718,2430,2430,blt샌드위치
